# t [t_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
2.58476e+03	2.08831e-02	1.41266e-03	4.29454	5.24413	4.53990e-05
2.60480e+03	2.08808e-02	1.47340e-03	3.87768	3.10856	4.53990e-05
2.62484e+03	2.08828e-02	1.39979e-03	1.35860	4.63832	4.53990e-05
2.64487e+03	2.08830e-02	1.41524e-03	2.50783	4.01994	4.53990e-05
2.66491e+03	2.08796e-02	1.43378e-03	1.90009	0.40563	4.53990e-05
2.68495e+03	2.08781e-02	1.37531e-03	4.39194	1.38172	4.53990e-05
2.70498e+03	2.08774e-02	1.40120e-03	4.18753	0.17621	4.53990e-05
2.72502e+03	2.08782e-02	1.38233e-03	1.39350	2.94427	4.53990e-05
2.74506e+03	2.08824e-02	1.50858e-03	1.09178	4.56517	4.53990e-05
2.76509e+03	2.08824e-02	1.38947e-03	4.93242	3.35437	4.53990e-05
2.78513e+03	2.08807e-02	1.40310e-03	4.68949	1.27732	4.53990e-05
2.80517e+03	2.08790e-02	1.51133e-03	0.37222	4.48314	4.53990e-05
2.82520e+03	2.08787e-02	1.56065e-03	5.90393	5.33001	4.53990e-05
2.84524e+03	2.08745e-02	1.32171e-03	0.51730	5.72315	4.53990e-05
2.86528e+03	2.08746e-02	1.23831e-03	4.03240	4.65271	4.53990e-05
2.88532e+03	2.08681e-02	1.41500e-03	2.99532	2.95748	4.53990e-05
2.90535e+03	2.08687e-02	1.36242e-03	3.95094	0.41239	4.53990e-05
2.92539e+03	2.08720e-02	1.27685e-03	0.83045	2.94741	4.53990e-05
2.94543e+03	2.08683e-02	1.31172e-03	5.03039	5.48815	4.53990e-05
2.96546e+03	2.08666e-02	1.31107e-03	4.72949	0.95697	4.53990e-05
2.98550e+03	2.08728e-02	1.39092e-03	6.02895	2.07693	4.53990e-05
3.00554e+03	2.08649e-02	1.31273e-03	1.87669	3.30668	4.53990e-05
3.02557e+03	2.08709e-02	1.49974e-03	5.32785	4.16242	4.53990e-05
3.04561e+03	2.08624e-02	1.37770e-03	2.95877	5.41083	4.53990e-05
3.06565e+03	2.08626e-02	1.24731e-03	1.86251	6.23193	4.53990e-05
3.08568e+03	2.08681e-02	1.49280e-03	0.74676	1.63019	4.53990e-05
3.10572e+03	2.08671e-02	1.48882e-03	0.65325	3.09248	4.53990e-05
3.12576e+03	2.08615e-02	1.21905e-03	1.39764	4.48637	4.53990e-05
3.14579e+03	2.08592e-02	1.29310e-03	1.89517	0.64848	4.53990e-05
3.16583e+03	2.08625e-02	1.32871e-03	2.19625	3.94839	4.53990e-05
3.18587e+03	2.08565e-02	1.26519e-03	3.14265	1.02975	4.53990e-05
3.20591e+03	2.08556e-02	1.41065e-03	3.55224	5.59957	4.53990e-05
3.22594e+03	2.08553e-02	1.32815e-03	3.77962	4.69724	4.53990e-05
3.24598e+03	2.08581e-02	1.26176e-03	4.11037	4.32087	4.53990e-05
3.26602e+03	2.08538e-02	1.35890e-03	3.13080	5.88775	4.53990e-05
3.28605e+03	2.08533e-02	1.33268e-03	2.02034	1.81765	4.53990e-05
3.30609e+03	2.08592e-02	1.31885e-03	0.05327	5.42379	4.53990e-05
3.32613e+03	2.08501e-02	1.30961e-03	3.31353	4.32552	4.53990e-05
3.34617e+03	2.08583e-02	1.41156e-03	5.78265	4.51066	4.53990e-05
3.36620e+03	2.08530e-02	1.33250e-03	0.77851	0.06289	4.53990e-05
3.38624e+03	2.08555e-02	1.43966e-03	0.49735	3.94779	4.53990e-05
3.40627e+03	2.08530e-02	1.28961e-03	5.56534	2.87327	4.53990e-05
3.42631e+03	2.08474e-02	1.25636e-03	2.96489	3.58366	4.53990e-05
3.44635e+03	2.08486e-02	1.24442e-03	4.83184	0.19838	4.53990e-05
3.46639e+03	2.08478e-02	1.24492e-03	5.23614	4.89924	4.53990e-05
3.48642e+03	2.08491e-02	1.30488e-03	4.18545	5.09837	4.53990e-05
3.50646e+03	2.08506e-02	1.44254e-03	0.22248	2.27629	4.53990e-05
3.52650e+03	2.08503e-02	1.40430e-03	1.00613	1.23888	4.53990e-05
3.54653e+03	2.08475e-02	1.36850e-03	0.30736	1.94209	4.53990e-05
3.56657e+03	2.08435e-02	1.23533e-03	2.82388	5.95420	4.53990e-05
3.58661e+03	2.08424e-02	1.21219e-03	3.68812	5.54869	4.53990e-05
3.60664e+03	2.08417e-02	1.26440e-03	1.62419	1.98661	4.53990e-05
3.62668e+03	2.08394e-02	1.24262e-03	3.21607	1.21088	4.53990e-05
3.64672e+03	2.08460e-02	1.34027e-03	1.53313	3.76042	4.53990e-05
3.66676e+03	2.08435e-02	1.30894e-03	4.43956	1.85953	4.53990e-05
3.68679e+03	2.08374e-02	1.29419e-03	3.37101	4.04367	4.53990e-05
3.70683e+03	2.08418e-02	1.31547e-03	0.07563	2.26399	4.53990e-05
3.72687e+03	2.08420e-02	1.37199e-03	5.92883	3.97493	4.53990e-05
3.74690e+03	2.08350e-02	1.31772e-03	2.47169	2.52579	4.53990e-05
3.76694e+03	2.08406e-02	1.29124e-03	1.60145	4.76133	4.53990e-05
3.78698e+03	2.08346e-02	1.26194e-03	4.43469	3.30530	4.53990e-05
3.80701e+03	2.08322e-02	1.22878e-03	3.53376	5.58215	4.53990e-05
3.82705e+03	2.08354e-02	1.20560e-03	5.45165	5.01486	4.53990e-05
3.84709e+03	2.08366e-02	1.19083e-03	4.18437	1.30365	4.53990e-05
3.86712e+03	2.08321e-02	1.24528e-03	4.67608	2.09262	4.53990e-05
3.88716e+03	2.08299e-02	1.22010e-03	2.01730	5.90516	4.53990e-05
3.90720e+03	2.08307e-02	1.24329e-03	1.58684	1.10064	4.53990e-05
3.92723e+03	2.08286e-02	1.27266e-03	3.17040	0.44082	4.53990e-05
3.94727e+03	2.08357e-02	1.25572e-03	0.67535	3.71533	4.53990e-05
3.96731e+03	2.08315e-02	1.12844e-03	0.86397	4.14654	4.53990e-05
3.98735e+03	2.08291e-02	1.17237e-03	3.65620	2.02847	4.53990e-05
4.00738e+03	2.08325e-02	1.27639e-03	1.73086	4.45154	4.53990e-05
4.02742e+03	2.08288e-02	1.16089e-03	2.17689	4.29086	4.53990e-05
4.04746e+03	2.08317e-02	1.33432e-03	5.08071	1.44115	4.53990e-05
4.06749e+03	2.08229e-02	1.19072e-03	2.45640	3.86118	4.53990e-05
4.08753e+03	2.08305e-02	1.32096e-03	1.36934	4.47616	4.53990e-05
4.10757e+03	2.08223e-02	1.24076e-03	2.63750	2.50173	4.53990e-05
4.12760e+03	2.08291e-02	1.18296e-03	5.01704	5.35721	4.53990e-05
4.14764e+03	2.08272e-02	1.25333e-03	1.56244	1.15833	4.53990e-05
4.16768e+03	2.08278e-02	1.23320e-03	0.35601	0.65247	4.53990e-05
4.18771e+03	2.08253e-02	1.34008e-03	0.01000	5.21912	4.53990e-05
4.20775e+03	2.08261e-02	1.39086e-03	0.69955	2.10484	4.53990e-05
4.22779e+03	2.08189e-02	1.10796e-03	2.91521	3.40005	4.53990e-05
4.24783e+03	2.08252e-02	1.23850e-03	5.94389	3.43090	4.53990e-05
4.26786e+03	2.08157e-02	1.23708e-03	3.14051	2.59469	4.53990e-05
4.28790e+03	2.08232e-02	1.30899e-03	0.81022	0.85579	4.53990e-05
4.30794e+03	2.08203e-02	1.26018e-03	0.13741	3.28504	4.53990e-05
4.32797e+03	2.08201e-02	1.12789e-03	5.68754	5.30735	4.53990e-05
4.34801e+03	2.08200e-02	1.30348e-03	6.03637	5.81807	4.53990e-05
4.36805e+03	2.08170e-02	1.17045e-03	5.62314	0.11332	4.53990e-05
4.38808e+03	2.08201e-02	1.19422e-03	6.14361	5.48263	4.53990e-05
