# t [t_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
2.86528e+03	3.89076e-02	5.90848e-05	0.51006	4.31278	2.31300e-05
2.88532e+03	3.89223e-02	1.12915e-04	5.52995	1.23469	2.31300e-05
2.90535e+03	3.89273e-02	4.62936e-05	4.62027	5.51718	2.31300e-05
2.92539e+03	3.89300e-02	1.62597e-04	5.65178	3.03387	2.31300e-05
2.94543e+03	3.89452e-02	1.86153e-04	6.00407	2.73743	2.31300e-05
2.96546e+03	3.89515e-02	1.77256e-04	6.24056	4.12890	2.31300e-05
2.98550e+03	3.89553e-02	3.23406e-04	5.62061	1.72080	2.31300e-05
3.00554e+03	3.89612e-02	1.12122e-04	0.59875	5.38721	2.31300e-05
3.02557e+03	3.89547e-02	1.68386e-04	1.90838	4.46594	2.31300e-05
3.04561e+03	3.89667e-02	9.42153e-05	2.96859	5.53404	2.31300e-05
3.06565e+03	3.89725e-02	1.53896e-04	0.08454	6.08423	2.31300e-05
3.08568e+03	3.89748e-02	1.79376e-04	4.55439	1.13516	2.31300e-05
3.10572e+03	3.89814e-02	1.81337e-04	4.64918	2.46499	2.31300e-05
3.12576e+03	3.89895e-02	1.31248e-04	6.01560	4.48479	2.31300e-05
3.14579e+03	3.90026e-02	1.08355e-04	0.59354	2.73562	2.31300e-05
3.16583e+03	3.90091e-02	3.18333e-04	6.02693	4.74070	2.31300e-05
3.18587e+03	3.89989e-02	7.84715e-05	2.81620	4.90861	2.31300e-05
3.20591e+03	3.90208e-02	3.01690e-04	0.30127	0.23563	2.31300e-05
3.22594e+03	3.90214e-02	4.87598e-05	3.79824	4.30822	2.31300e-05
3.24598e+03	3.90148e-02	1.59458e-04	2.50241	2.82474	2.31300e-05
3.26602e+03	3.90295e-02	1.03757e-04	0.20248	4.63152	2.31300e-05
3.28605e+03	3.90427e-02	2.45053e-04	5.98008	0.66283	2.31300e-05
3.30609e+03	3.90465e-02	2.65775e-04	5.58633	5.23286	2.31300e-05
3.32613e+03	3.90525e-02	2.39399e-04	0.32406	4.49580	2.31300e-05
3.34617e+03	3.90441e-02	2.67541e-04	2.93186	4.61162	2.31300e-05
3.36620e+03	3.90628e-02	2.34081e-04	5.64645	0.82313	2.31300e-05
3.38624e+03	3.90637e-02	1.82900e-04	4.80007	3.13158	2.31300e-05
3.40627e+03	3.90705e-02	5.88414e-05	3.82605	1.81495	2.31300e-05
3.42631e+03	3.90928e-02	3.81941e-04	0.04030	5.90479	2.31300e-05
3.44635e+03	3.90856e-02	5.61211e-05	0.17153	2.43819	2.31300e-05
3.46639e+03	3.90959e-02	1.99498e-04	5.90549	2.34861	2.31300e-05
3.48642e+03	3.91049e-02	2.99302e-04	0.01889	4.03246	2.31300e-05
3.50646e+03	3.91088e-02	3.49214e-04	0.44472	2.17551	2.31300e-05
3.52650e+03	3.90999e-02	1.49033e-04	2.37188	1.59186	2.31300e-05
3.54653e+03	3.91158e-02	2.87616e-04	5.70148	2.43906	2.31300e-05
3.56657e+03	3.91291e-02	2.48320e-04	0.17527	2.44651	2.31300e-05
3.58661e+03	3.91094e-02	1.39467e-04	2.66828	3.62593	2.31300e-05
3.60664e+03	3.91297e-02	1.91369e-04	5.97099	0.65701	2.31300e-05
3.62668e+03	3.91465e-02	3.66734e-04	0.00693	3.74901	2.31300e-05
3.64672e+03	3.91489e-02	4.43129e-04	6.05021	4.20669	2.31300e-05
3.66676e+03	3.91550e-02	3.34045e-04	6.27247	0.96946	2.31300e-05
3.68679e+03	3.91467e-02	8.51825e-05	3.18643	4.12637	2.31300e-05
3.70683e+03	3.91596e-02	2.60626e-04	0.69516	3.52447	2.31300e-05
3.72687e+03	3.91729e-02	4.67525e-04	0.12516	4.15700	2.31300e-05
3.74690e+03	3.91696e-02	2.79768e-04	5.97789	1.57196	2.31300e-05
3.76694e+03	3.91701e-02	9.34567e-05	1.20585	0.25238	2.31300e-05
3.78698e+03	3.91789e-02	2.36511e-04	0.24472	4.66403	2.31300e-05
3.80701e+03	3.91817e-02	2.24127e-04	5.90733	5.73230	2.31300e-05
3.82705e+03	3.91940e-02	2.43616e-04	5.86832	3.25627	2.31300e-05
3.84709e+03	3.91852e-02	8.34879e-05	3.26322	0.42184	2.31300e-05
3.86712e+03	3.91945e-02	1.54414e-04	0.34738	1.30332	2.31300e-05
3.88716e+03	3.92071e-02	1.72230e-04	6.12421	3.18120	2.31300e-05
3.90720e+03	3.92049e-02	1.57018e-04	5.87784	1.97111	2.31300e-05
3.92723e+03	3.92090e-02	8.80355e-05	3.15856	0.43777	2.31300e-05
3.94727e+03	3.92271e-02	4.36878e-04	6.04560	3.10138	2.31300e-05
3.96731e+03	3.92330e-02	4.03820e-04	0.19283	5.48880	2.31300e-05
3.98735e+03	3.92391e-02	2.52180e-04	6.08774	5.72872	2.31300e-05
4.00738e+03	3.92215e-02	1.20179e-04	3.87540	5.01156	2.31300e-05
4.02742e+03	3.92241e-02	1.68942e-04	3.73162	5.86696	2.31300e-05
