# t [t_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
5.00923e+03	2.83246e-02	8.53241e-04	0.80137	3.97006	1.26440e-05
5.02927e+03	2.83122e-02	6.55587e-04	4.01715	3.08167	1.26440e-05
5.04930e+03	2.83096e-02	7.96553e-04	3.78656	3.16770	1.26440e-05
5.06934e+03	2.83248e-02	8.18785e-04	0.07439	4.31387	1.26440e-05
5.08938e+03	2.83224e-02	1.00691e-03	0.16702	5.45791	1.26440e-05
5.10941e+03	2.83172e-02	8.06290e-04	1.59609	2.81372	1.26440e-05
5.12945e+03	2.83222e-02	9.00208e-04	0.40649	0.36128	1.26440e-05
5.14949e+03	2.83263e-02	4.72269e-04	1.53907	5.72427	1.26440e-05
5.16952e+03	2.83247e-02	9.24128e-04	0.25585	4.79244	1.26440e-05
5.18956e+03	2.83294e-02	8.58255e-04	0.65452	6.07912	1.26440e-05
5.20960e+03	2.83158e-02	6.18307e-04	4.43630	1.57697	1.26440e-05
5.22963e+03	2.83134e-02	6.89018e-04	4.00158	5.17087	1.26440e-05
5.24967e+03	2.83236e-02	6.20567e-04	5.98218	3.95202	1.26440e-05
5.26971e+03	2.83231e-02	7.89988e-04	5.06957	3.24738	1.26440e-05
5.28975e+03	2.83217e-02	5.58291e-04	5.47921	5.12712	1.26440e-05
5.30978e+03	2.83124e-02	8.31235e-04	3.38046	0.88253	1.26440e-05
5.32982e+03	2.83132e-02	8.31592e-04	3.23597	4.85251	1.26440e-05
5.34986e+03	2.83199e-02	6.11656e-04	4.64858	4.90925	1.26440e-05
5.36989e+03	2.83230e-02	7.13272e-04	3.77756	4.90142	1.26440e-05
5.38993e+03	2.83234e-02	6.29610e-04	3.94781	1.53481	1.26440e-05
5.40997e+03	2.83320e-02	6.10393e-04	0.99723	5.20377	1.26440e-05
5.43000e+03	2.83370e-02	8.42443e-04	0.22705	4.38401	1.26440e-05
5.45004e+03	2.83212e-02	6.57841e-04	1.22745	5.72717	1.26440e-05
5.47008e+03	2.83230e-02	7.10259e-04	4.74760	2.24065	1.26440e-05
5.49011e+03	2.83371e-02	6.75792e-04	4.74617	6.27164	1.26440e-05
5.51015e+03	2.83239e-02	7.03477e-04	5.20414	1.21683	1.26440e-05
5.53019e+03	2.83297e-02	6.91711e-04	2.95606	2.88485	1.26440e-05
