# t [t_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
3.38624e+03	1.55720e-02	1.03258e-03	2.28670	0.93977	4.83340e-05
3.40627e+03	1.55714e-02	1.02373e-03	0.47031	6.10975	4.83340e-05
3.42631e+03	1.55766e-02	9.35673e-04	6.03001	0.44612	4.83340e-05
3.44635e+03	1.55696e-02	1.06024e-03	5.77547	3.33395	4.83340e-05
3.46639e+03	1.55683e-02	1.07376e-03	6.14467	1.93743	4.83340e-05
3.48642e+03	1.55693e-02	8.65037e-04	1.37318	1.97062	4.83340e-05
3.50646e+03	1.55649e-02	9.75370e-04	1.93266	5.52083	4.83340e-05
3.52650e+03	1.55639e-02	9.41361e-04	3.15450	4.47857	4.83340e-05
3.54653e+03	1.55628e-02	9.84067e-04	5.20759	4.95089	4.83340e-05
3.56657e+03	1.55680e-02	9.74432e-04	5.86517	2.80581	4.83340e-05
3.58661e+03	1.55661e-02	9.04018e-04	0.59920	2.50073	4.83340e-05
3.60664e+03	1.55601e-02	1.01537e-03	0.89859	5.03503	4.83340e-05
3.62668e+03	1.55650e-02	9.25952e-04	0.07005	4.36662	4.83340e-05
3.64672e+03	1.55576e-02	9.43132e-04	3.91258	0.72981	4.83340e-05
3.66676e+03	1.55577e-02	8.57712e-04	1.75345	4.99399	4.83340e-05
3.68679e+03	1.55563e-02	1.01529e-03	3.50871	0.89853	4.83340e-05
3.70683e+03	1.55534e-02	9.64454e-04	4.84449	5.27256	4.83340e-05
3.72687e+03	1.55520e-02	9.98976e-04	4.34496	0.61011	4.83340e-05
3.74690e+03	1.55526e-02	1.02443e-03	2.13512	5.63635	4.83340e-05
3.76694e+03	1.55511e-02	8.70985e-04	4.12210	1.67240	4.83340e-05
3.78698e+03	1.55499e-02	1.00857e-03	5.07139	0.23167	4.83340e-05
3.80701e+03	1.55491e-02	1.05814e-03	3.94132	2.31427	4.83340e-05
3.82705e+03	1.55469e-02	9.68501e-04	0.28547	2.00156	4.83340e-05
3.84709e+03	1.55481e-02	8.24515e-04	1.51960	4.36394	4.83340e-05
3.86712e+03	1.55452e-02	1.00513e-03	5.49682	5.27291	4.83340e-05
3.88716e+03	1.55443e-02	1.05525e-03	1.50932	2.66800	4.83340e-05
3.90720e+03	1.55429e-02	1.00198e-03	0.75812	4.20056	4.83340e-05
3.92723e+03	1.55427e-02	9.94378e-04	3.18894	3.58083	4.83340e-05
3.94727e+03	1.55397e-02	9.40587e-04	2.53779	0.72604	4.83340e-05
3.96731e+03	1.55392e-02	9.77211e-04	6.04007	0.90157	4.83340e-05
3.98735e+03	1.55432e-02	9.10787e-04	0.67429	5.18059	4.83340e-05
4.00738e+03	1.55380e-02	8.87739e-04	4.33277	1.32954	4.83340e-05
4.02742e+03	1.55392e-02	8.29051e-04	5.11143	1.06760	4.83340e-05
4.04746e+03	1.55345e-02	9.38445e-04	2.91014	4.43923	4.83340e-05
4.06749e+03	1.55347e-02	1.03780e-03	2.23636	0.60129	4.83340e-05
4.08753e+03	1.55327e-02	9.16601e-04	3.75718	1.38582	4.83340e-05
4.10757e+03	1.55326e-02	9.86979e-04	2.32791	5.65241	4.83340e-05
4.12760e+03	1.55304e-02	8.88859e-04	2.78313	2.09648	4.83340e-05
4.14764e+03	1.55300e-02	8.44597e-04	4.06407	4.35809	4.83340e-05
4.16768e+03	1.55277e-02	9.29083e-04	2.01986	3.96516	4.83340e-05
4.18771e+03	1.55267e-02	9.24967e-04	1.58264	2.20281	4.83340e-05
4.20775e+03	1.55256e-02	9.06908e-04	2.71696	5.32538	4.83340e-05
4.22779e+03	1.55310e-02	8.57946e-04	5.87901	0.33048	4.83340e-05
4.24783e+03	1.55234e-02	9.32878e-04	4.21763	0.16582	4.83340e-05
4.26786e+03	1.55241e-02	1.02281e-03	3.03110	5.81734	4.83340e-05
