# aeq_b	eeq_b	aeq_c	eeq_c	aeq_d	eeq_d	aeq_e	eeq_e
1.16413e-02	8.30169e-04	1.56655e-02	1.09347e-03	2.14079e-02	7.75774e-04	3.00388e-02	1.13880e-04
1.16251e-02	7.94537e-04	1.56621e-02	1.04623e-03	2.14450e-02	7.41898e-04	3.01951e-02	1.08813e-04
1.16082e-02	7.60458e-04	1.56584e-02	1.00105e-03	2.14836e-02	7.09499e-04	3.03604e-02	1.03966e-04
1.15905e-02	7.27864e-04	1.56544e-02	9.57838e-04	2.15240e-02	6.78512e-04	3.05351e-02	9.93297e-05
1.15720e-02	6.96692e-04	1.56500e-02	9.16514e-04	2.15662e-02	6.48876e-04	3.07200e-02	9.48944e-05
1.15526e-02	6.66880e-04	1.56453e-02	8.76993e-04	2.16102e-02	6.20533e-04	3.09156e-02	9.06516e-05
1.15322e-02	6.38367e-04	1.56401e-02	8.39196e-04	2.16560e-02	5.93426e-04	3.11229e-02	8.65927e-05
1.15109e-02	6.11098e-04	1.56345e-02	8.03049e-04	2.17039e-02	5.67500e-04	3.13426e-02	8.27098e-05
1.14886e-02	5.85018e-04	1.56284e-02	7.68480e-04	2.17537e-02	5.42706e-04	3.15757e-02	7.89952e-05
1.14652e-02	5.60077e-04	1.56217e-02	7.35419e-04	2.18057e-02	5.18994e-04	3.18231e-02	7.54414e-05
1.14406e-02	5.36223e-04	1.56144e-02	7.03803e-04	2.18598e-02	4.96316e-04	3.20859e-02	7.20413e-05
1.14149e-02	5.13411e-04	1.56065e-02	6.73567e-04	2.19162e-02	4.74628e-04	3.23653e-02	6.87884e-05
1.13879e-02	4.91594e-04	1.55978e-02	6.44652e-04	2.19748e-02	4.53887e-04	3.26626e-02	6.56760e-05
1.13595e-02	4.70729e-04	1.55884e-02	6.17001e-04	2.20358e-02	4.34051e-04	3.29793e-02	6.26980e-05
1.13298e-02	4.50776e-04	1.55780e-02	5.90559e-04	2.20992e-02	4.15082e-04	3.33170e-02	5.98484e-05
1.12986e-02	4.31694e-04	1.55667e-02	5.65273e-04	2.21650e-02	3.96942e-04	3.36774e-02	5.71216e-05
1.12659e-02	4.13445e-04	1.55543e-02	5.41093e-04	2.22333e-02	3.79595e-04	3.40624e-02	5.45121e-05
1.12315e-02	3.95994e-04	1.55407e-02	5.17971e-04	2.23041e-02	3.63007e-04	3.44743e-02	5.20149e-05
1.11954e-02	3.79306e-04	1.55259e-02	4.95862e-04	2.23774e-02	3.47144e-04	3.49155e-02	4.96247e-05
1.11575e-02	3.63348e-04	1.55095e-02	4.74722e-04	2.24533e-02	3.31976e-04	3.53886e-02	4.73370e-05
1.11177e-02	3.48087e-04	1.54916e-02	4.54508e-04	2.25315e-02	3.17472e-04	3.58968e-02	4.51471e-05
1.10758e-02	3.33494e-04	1.54719e-02	4.35181e-04	2.26122e-02	3.03604e-04	3.64432e-02	4.30507e-05
1.10317e-02	3.19540e-04	1.54503e-02	4.16703e-04	2.26952e-02	2.90345e-04	3.70319e-02	4.10435e-05
1.09853e-02	3.06197e-04	1.54265e-02	3.99036e-04	2.27804e-02	2.77668e-04	3.76671e-02	3.91215e-05
1.09365e-02	2.93438e-04	1.54003e-02	3.82145e-04	2.28675e-02	2.65548e-04	3.83537e-02	3.72810e-05
1.08851e-02	2.81239e-04	1.53715e-02	3.65998e-04	2.29564e-02	2.53962e-04	3.90972e-02	3.55180e-05
1.08309e-02	2.69574e-04	1.53396e-02	3.50562e-04	2.30467e-02	2.42887e-04	3.99039e-02	3.38292e-05
1.07737e-02	2.58421e-04	1.53045e-02	3.35806e-04	2.31380e-02	2.32300e-04	4.07812e-02	3.22111e-05
1.07134e-02	2.47757e-04	1.52657e-02	3.21701e-04	2.32298e-02	2.22182e-04	4.17371e-02	3.06605e-05
1.06497e-02	2.37561e-04	1.52228e-02	3.08219e-04	2.33215e-02	2.12511e-04	4.27813e-02	2.91741e-05
1.05824e-02	2.27812e-04	1.51753e-02	2.95333e-04	2.34122e-02	2.03270e-04	4.39247e-02	2.77490e-05
1.05112e-02	2.18491e-04	1.51228e-02	2.83017e-04	2.35010e-02	1.94440e-04	4.51800e-02	2.63823e-05
1.04358e-02	2.09578e-04	1.50645e-02	2.71246e-04	2.35868e-02	1.86004e-04	4.65619e-02	2.50711e-05
1.03560e-02	2.01056e-04	1.50000e-02	2.59997e-04	2.36680e-02	1.77946e-04	4.80874e-02	2.38128e-05
1.02713e-02	1.92907e-04	1.49283e-02	2.49245e-04	2.37432e-02	1.70248e-04	4.97764e-02	2.26048e-05
1.01814e-02	1.85114e-04	1.48488e-02	2.38969e-04	2.38101e-02	1.62897e-04	5.16521e-02	2.14447e-05
1.00858e-02	1.77659e-04	1.47605e-02	2.29147e-04	2.38665e-02	1.55876e-04	5.37414e-02	2.03301e-05
9.98420e-03	1.70527e-04	1.46624e-02	2.19758e-04	2.39096e-02	1.49173e-04	5.60757e-02	1.92588e-05
9.87597e-03	1.63702e-04	1.45534e-02	2.10781e-04	2.39363e-02	1.42773e-04	5.86916e-02	1.82287e-05
9.76066e-03	1.57167e-04	1.44325e-02	2.02195e-04	2.39429e-02	1.36663e-04	6.16313e-02	1.72379e-05
9.63773e-03	1.50908e-04	1.42983e-02	1.93981e-04	2.39256e-02	1.30828e-04	6.49434e-02	1.62845e-05
9.50663e-03	1.44908e-04	1.41496e-02	1.86118e-04	2.38799e-02	1.25257e-04	6.86831e-02	1.53670e-05
9.36685e-03	1.39152e-04	1.39853e-02	1.78585e-04	2.38013e-02	1.19936e-04	7.29124e-02	1.44841e-05
9.21794e-03	1.33625e-04	1.38042e-02	1.71363e-04	2.36854e-02	1.14852e-04	7.76997e-02	1.36346e-05
9.05954e-03	1.28311e-04	1.36055e-02	1.64432e-04	2.35278e-02	1.09991e-04	8.31181e-02	1.28179e-05
8.89145e-03	1.23195e-04	1.33884e-02	1.57772e-04	2.33249e-02	1.05340e-04	8.92434e-02	1.20336e-05
8.71370e-03	1.18264e-04	1.31527e-02	1.51364e-04	2.30741e-02	1.00887e-04	9.61506e-02	1.12815e-05
8.52658e-03	1.13505e-04	1.28988e-02	1.45193e-04	2.27741e-02	9.66184e-05	1.03909e-01	1.05620e-05
8.33071e-03	1.08907e-04	1.26275e-02	1.39242e-04	2.24252e-02	9.25239e-05	1.12579e-01	9.87560e-06
8.12700e-03	1.04461e-04	1.23404e-02	1.33500e-04	2.20297e-02	8.85927e-05	1.22204e-01	9.22293e-06
7.91668e-03	1.00161e-04	1.20396e-02	1.27955e-04	2.15915e-02	8.48160e-05	1.32809e-01	8.60462e-06
7.70117e-03	9.60026e-05	1.17274e-02	1.22602e-04	2.11158e-02	8.11862e-05	1.44400e-01	8.02109e-06
7.48204e-03	9.19819e-05	1.14066e-02	1.17434e-04	2.06091e-02	7.76971e-05	1.56959e-01	7.47245e-06
