# t [tau_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
5.77414e+01	3.83778e-02	2.72234e-02	5.69446	3.81385	3.47100e-05
5.81116e+01	3.83855e-02	2.72264e-02	4.18408	1.95907	3.47100e-05
5.84817e+01	3.83721e-02	2.73184e-02	2.83001	6.22705	3.47100e-05
5.88518e+01	3.83863e-02	2.71223e-02	1.65579	4.04025	3.47100e-05
5.92220e+01	3.83759e-02	2.70547e-02	0.68584	1.65723	3.47100e-05
5.95921e+01	3.83968e-02	2.74216e-02	6.16653	5.39812	3.47100e-05
5.99622e+01	3.83857e-02	2.70733e-02	5.56499	2.67326	3.47100e-05
6.03324e+01	3.83905e-02	2.70417e-02	5.13467	6.05616	3.47100e-05
6.07025e+01	3.83884e-02	2.68505e-02	4.87850	2.98863	3.47100e-05
6.10727e+01	3.83858e-02	2.67683e-02	4.80026	6.03360	3.47100e-05
6.14428e+01	3.83892e-02	2.67843e-02	4.90645	2.61800	3.47100e-05
6.18129e+01	3.83897e-02	2.68920e-02	5.19844	5.31817	3.47100e-05
6.21831e+01	3.83870e-02	2.68513e-02	5.65476	1.56546	3.47100e-05
6.25532e+01	3.83934e-02	2.70113e-02	0.00167	3.92856	3.47100e-05
6.29233e+01	3.83819e-02	2.67861e-02	0.82068	6.10817	3.47100e-05
6.32935e+01	3.83842e-02	2.66450e-02	1.80623	1.84502	3.47100e-05
6.36636e+01	3.83698e-02	2.68059e-02	2.99419	3.68021	3.47100e-05
6.40338e+01	3.83823e-02	2.65867e-02	4.34342	5.34834	3.47100e-05
6.44039e+01	3.83851e-02	2.66443e-02	5.86025	0.57071	3.47100e-05
6.47740e+01	3.83761e-02	2.63885e-02	1.25752	1.91908	3.47100e-05
6.51442e+01	3.83648e-02	2.64344e-02	3.12742	3.08301	3.47100e-05
6.55143e+01	3.83877e-02	2.62719e-02	5.18750	4.07336	3.47100e-05
6.58844e+01	3.84063e-02	2.64499e-02	1.14301	4.87508	3.47100e-05
6.62546e+01	3.83807e-02	2.61746e-02	3.56657	5.50033	3.47100e-05
6.66247e+01	3.83825e-02	2.65377e-02	6.12081	6.00002	3.47100e-05
6.69949e+01	3.83772e-02	2.62337e-02	2.56970	0.05468	3.47100e-05
6.73650e+01	3.83855e-02	2.62751e-02	5.47100	0.21569	3.47100e-05
6.77351e+01	3.83892e-02	2.60634e-02	2.24611	0.22389	3.47100e-05
6.81053e+01	3.83727e-02	2.60572e-02	5.49690	0.04436	3.47100e-05
6.84754e+01	3.83811e-02	2.56772e-02	2.62291	5.99471	3.47100e-05
6.88455e+01	3.84209e-02	2.64766e-02	6.24130	5.46525	3.47100e-05
6.92157e+01	3.83798e-02	2.59431e-02	3.75590	4.74956	3.47100e-05
6.95858e+01	3.83871e-02	2.59955e-02	1.36562	3.94394	3.47100e-05
6.99560e+01	3.83854e-02	2.60180e-02	5.45973	2.94032	3.47100e-05
7.03261e+01	3.83893e-02	2.56170e-02	3.42919	1.78087	3.47100e-05
7.06962e+01	3.83703e-02	2.57636e-02	1.57247	0.46388	3.47100e-05
7.10664e+01	3.84191e-02	2.62089e-02	6.18349	5.23565	3.47100e-05
7.14365e+01	3.83850e-02	2.57308e-02	4.70466	3.53333	3.47100e-05
7.18066e+01	3.83818e-02	2.56312e-02	3.31542	1.74690	3.47100e-05
7.21768e+01	3.83876e-02	2.56949e-02	2.10471	6.06637	3.47100e-05
7.25469e+01	3.83761e-02	2.56700e-02	1.08545	3.92710	3.47100e-05
7.29171e+01	3.84191e-02	2.60418e-02	0.24341	1.59981	3.47100e-05
7.32872e+01	3.83775e-02	2.57532e-02	5.86032	5.38289	3.47100e-05
7.36573e+01	3.83875e-02	2.56930e-02	5.30735	2.77330	3.47100e-05
7.40275e+01	3.83862e-02	2.56471e-02	4.93133	6.27185	3.47100e-05
7.43976e+01	3.83926e-02	2.52192e-02	4.72502	3.33171	3.47100e-05
7.47677e+01	3.83864e-02	2.54299e-02	4.73409	0.16347	3.47100e-05
7.51379e+01	3.83862e-02	2.53530e-02	4.82061	3.20650	3.47100e-05
7.55080e+01	3.83826e-02	2.55408e-02	5.08475	6.07330	3.47100e-05
7.58782e+01	3.83811e-02	2.50428e-02	5.50652	2.50125	3.47100e-05
7.62483e+01	3.83825e-02	2.56186e-02	6.16791	4.98355	3.47100e-05
7.66184e+01	3.83737e-02	2.52286e-02	0.62299	1.09823	3.47100e-05
7.69886e+01	3.83710e-02	2.51593e-02	1.52357	3.33591	3.47100e-05
7.73587e+01	3.83894e-02	2.49336e-02	2.64577	5.34980	3.47100e-05
7.77288e+01	3.83851e-02	2.51292e-02	3.87835	0.97582	3.47100e-05
7.80990e+01	3.83763e-02	2.52405e-02	5.26223	2.74467	3.47100e-05
7.84691e+01	3.84101e-02	2.53791e-02	0.55082	4.31374	3.47100e-05
7.88392e+01	3.83743e-02	2.52130e-02	2.27378	5.73525	3.47100e-05
7.92094e+01	3.83866e-02	2.50762e-02	4.13985	0.73126	3.47100e-05
7.95795e+01	3.84183e-02	2.54039e-02	6.16175	1.85439	3.47100e-05
7.99497e+01	3.83691e-02	2.51894e-02	2.09593	2.79405	3.47100e-05
8.03198e+01	3.83820e-02	2.50101e-02	4.41966	3.61764	3.47100e-05
8.06899e+01	3.84092e-02	2.51807e-02	0.64034	4.25930	3.47100e-05
8.10601e+01	3.83809e-02	2.48160e-02	3.29529	4.75342	3.47100e-05
8.14302e+01	3.83929e-02	2.52576e-02	6.08902	5.10850	3.47100e-05
8.18003e+01	3.83821e-02	2.46742e-02	2.82063	5.25220	3.47100e-05
8.21705e+01	3.83944e-02	2.51236e-02	5.91407	5.30921	3.47100e-05
8.25406e+01	3.83685e-02	2.46822e-02	2.87871	5.21209	3.47100e-05
8.29108e+01	3.83807e-02	2.49949e-02	0.06242	4.89264	3.47100e-05
8.32809e+01	3.83968e-02	2.43113e-02	3.62211	4.48277	3.47100e-05
8.36510e+01	3.84081e-02	2.48539e-02	1.08104	3.89970	3.47100e-05
8.40212e+01	3.83901e-02	2.46763e-02	4.97735	3.15436	3.47100e-05
8.43913e+01	3.83775e-02	2.43023e-02	2.69582	2.30330	3.47100e-05
8.47614e+01	3.83758e-02	2.47579e-02	0.64486	1.21787	3.47100e-05
8.51316e+01	3.83857e-02	2.46940e-02	4.96134	0.05074	3.47100e-05
8.55017e+01	3.83745e-02	2.45425e-02	3.21510	4.95460	3.47100e-05
8.58719e+01	3.83897e-02	2.45381e-02	1.52332	3.51160	3.47100e-05
8.62420e+01	3.84226e-02	2.49567e-02	0.04386	1.85486	3.47100e-05
8.66121e+01	3.83904e-02	2.44872e-02	5.00356	0.04134	3.47100e-05
8.69823e+01	3.83812e-02	2.40664e-02	3.77641	4.41554	3.47100e-05
8.73524e+01	3.83740e-02	2.44687e-02	2.77947	2.28409	3.47100e-05
8.77225e+01	3.83723e-02	2.43324e-02	1.84996	0.07498	3.47100e-05
8.80927e+01	3.83926e-02	2.45935e-02	1.13174	3.93516	3.47100e-05
8.84628e+01	3.83690e-02	2.41402e-02	0.51500	1.41134	3.47100e-05
8.88330e+01	3.83798e-02	2.44969e-02	0.10585	4.96027	3.47100e-05
8.92031e+01	3.83925e-02	2.46126e-02	6.06838	2.14977	3.47100e-05
8.95732e+01	3.83794e-02	2.44152e-02	5.95364	5.40229	3.47100e-05
8.99434e+01	3.83869e-02	2.43987e-02	5.91035	2.30032	3.47100e-05
9.03135e+01	3.83818e-02	2.44301e-02	6.08461	5.26094	3.47100e-05
9.06836e+01	3.83904e-02	2.44688e-02	0.03893	1.87598	3.47100e-05
9.10538e+01	3.83731e-02	2.41866e-02	0.52604	4.53256	3.47100e-05
9.14239e+01	3.83756e-02	2.40732e-02	1.05723	0.85059	3.47100e-05
9.17941e+01	3.83668e-02	2.41377e-02	1.82578	3.21124	3.47100e-05
9.21642e+01	3.83800e-02	2.36419e-02	2.64574	5.52129	3.47100e-05
9.25343e+01	3.83901e-02	2.37537e-02	3.69745	1.31162	3.47100e-05
9.29045e+01	3.83949e-02	2.37603e-02	4.83851	3.30811	3.47100e-05
9.32746e+01	3.83968e-02	2.43420e-02	6.14876	5.11940	3.47100e-05
9.36447e+01	3.83988e-02	2.38759e-02	1.31888	0.50225	3.47100e-05
9.40149e+01	3.83700e-02	2.40934e-02	2.89483	2.04695	3.47100e-05
9.43850e+01	3.83827e-02	2.37965e-02	4.67004	3.38817	3.47100e-05
9.47552e+01	3.83824e-02	2.39621e-02	0.20608	4.69706	3.47100e-05
9.51253e+01	3.83739e-02	2.39297e-02	2.25738	5.75774	3.47100e-05
9.54954e+01	3.83798e-02	2.34620e-02	4.37635	0.46824	3.47100e-05
9.58656e+01	3.83744e-02	2.36298e-02	0.41521	1.25291	3.47100e-05
9.62357e+01	3.83792e-02	2.36106e-02	2.89217	1.88110	3.47100e-05
9.66058e+01	3.83725e-02	2.36664e-02	5.43673	2.45361	3.47100e-05
9.69760e+01	3.83660e-02	2.38116e-02	1.91519	2.79316	3.47100e-05
9.73461e+01	3.83931e-02	2.33739e-02	4.74170	3.06738	3.47100e-05
9.77163e+01	3.83920e-02	2.36664e-02	1.45559	3.16496	3.47100e-05
9.80864e+01	3.83821e-02	2.35342e-02	4.65882	3.05500	3.47100e-05
9.84565e+01	3.83699e-02	2.34794e-02	1.60796	2.92729	3.47100e-05
9.88267e+01	3.83907e-02	2.36141e-02	5.06448	2.55894	3.47100e-05
9.91968e+01	3.83927e-02	2.33135e-02	2.34237	2.08171	3.47100e-05
9.95669e+01	3.83911e-02	2.38211e-02	6.02069	1.48921	3.47100e-05
9.99371e+01	3.83903e-02	2.31846e-02	3.59806	0.70889	3.47100e-05
1.00307e+02	3.84001e-02	2.34222e-02	1.29638	6.09789	3.47100e-05
1.00677e+02	3.83732e-02	2.34054e-02	5.38830	5.08297	3.47100e-05
1.01047e+02	3.83842e-02	2.32186e-02	3.37921	3.87993	3.47100e-05
1.01418e+02	3.83889e-02	2.32537e-02	1.49705	2.54638	3.47100e-05
1.01788e+02	3.83904e-02	2.36424e-02	5.99681	1.11415	3.47100e-05
1.02158e+02	3.83695e-02	2.33510e-02	4.39256	5.79270	3.47100e-05
1.02528e+02	3.83774e-02	2.32220e-02	2.94821	4.01180	3.47100e-05
1.02898e+02	3.83707e-02	2.31675e-02	1.54336	2.19203	3.47100e-05
1.03268e+02	3.83767e-02	2.31534e-02	0.34869	0.15603	3.47100e-05
1.03638e+02	3.83757e-02	2.33642e-02	5.58954	4.24742	3.47100e-05
1.04009e+02	3.83888e-02	2.28571e-02	4.61362	2.00053	3.47100e-05
1.04379e+02	3.83973e-02	2.28580e-02	3.83575	5.82044	3.47100e-05
1.04749e+02	3.83757e-02	2.31900e-02	3.16119	3.25094	3.47100e-05
1.05119e+02	3.83896e-02	2.28171e-02	2.64277	0.52124	3.47100e-05
1.05489e+02	3.83856e-02	2.28360e-02	2.17756	4.02183	3.47100e-05
1.05859e+02	3.83847e-02	2.31092e-02	1.94531	1.01032	3.47100e-05
1.06229e+02	3.83665e-02	2.31515e-02	1.85001	4.13198	3.47100e-05
1.06600e+02	3.83773e-02	2.30605e-02	1.85321	0.86576	3.47100e-05
1.06970e+02	3.83752e-02	2.29547e-02	1.92656	3.81351	3.47100e-05
1.07340e+02	3.83887e-02	2.29155e-02	2.20295	0.26792	3.47100e-05
1.07710e+02	3.83765e-02	2.29719e-02	2.64292	2.85113	3.47100e-05
1.08080e+02	3.83744e-02	2.29385e-02	3.19789	5.30206	3.47100e-05
1.08450e+02	3.83812e-02	2.25569e-02	3.79835	1.42468	3.47100e-05
1.08820e+02	3.83843e-02	2.29003e-02	4.61572	3.60598	3.47100e-05
1.09191e+02	3.83855e-02	2.29501e-02	5.55770	5.67110	3.47100e-05
1.09561e+02	3.83741e-02	2.29100e-02	0.35106	1.30279	3.47100e-05
1.09931e+02	3.83870e-02	2.27038e-02	1.53645	3.10379	3.47100e-05
1.10301e+02	3.83716e-02	2.26061e-02	2.81204	4.81561	3.47100e-05
1.10671e+02	3.83829e-02	2.28220e-02	4.28375	0.03985	3.47100e-05
1.11041e+02	3.83933e-02	2.30212e-02	5.88015	1.43023	3.47100e-05
1.11411e+02	3.83899e-02	2.28131e-02	1.30431	2.69446	3.47100e-05
1.11781e+02	3.83742e-02	2.27133e-02	3.17800	3.78700	3.47100e-05
1.12152e+02	3.83920e-02	2.25896e-02	5.09061	4.84098	3.47100e-05
